,month,year,area_burned_m2,emissions_gDM,emissions_gC,total_emissions_gC,forest_emissions_gDM,forest_emissions_gC,total_forest_emissions_gC,area_burned_ha,area_burned_km2,total_emissions_kgC,total_emissions_TgC,total_forest_emissions_kgC,total_forest_emissions_TgC
75,04,2003,190509940736.0,244934200262656.0,244934200262656.0,240188798271488.0,86327869571072.0,40429743505408.0,83593678290944.0,19050994.0736,190509.940736,240188798271.488,240.188798271488,83593678290.944,83.593678290944
76,05,2003,348415328256.0,485802609999872.0,485802609999872.0,475447880056832.0,211612736684032.0,98523244658688.0,204329613000704.0,34841532.8256,348415.328256,475447880056.832,475.447880056832,204329613000.704,204.329613000704
77,06,2003,309524365312.0,398005224079360.0,398005224079360.0,391529218703360.0,128027262451712.0,59577617874944.0,123591249100800.0,30952436.5312,309524.365312,391529218703.36,391.52921870335996,123591249100.8,123.5912491008
78,07,2003,455596802048.0,527422621483008.0,527422621483008.0,519369725575168.0,114455786553344.0,53356290637824.0,110584183914496.0,45559680.2048,455596.802048,519369725575.168,519.369725575168,110584183914.496,110.58418391449601
79,08,2003,593087561728.0,667240684847104.0,667240684847104.0,658838118203392.0,102067054051328.0,47876440850432.0,98909967876096.0,59308756.1728,593087.561728,658838118203.392,658.838118203392,98909967876.096,98.90996787609599
80,09,2003,416803979264.0,453822988156928.0,453822988156928.0,449615363047424.0,27183626059776.0,12902731874304.0,26494545952768.0,41680397.9264,416803.979264,449615363047.424,449.615363047424,26494545952.768,26.494545952768
81,10,2003,445559865344.0,308481429078016.0,308481429078016.0,304823761108992.0,8161948860416.0,3890902204416.0,7971876634624.0,44555986.5344,445559.865344,304823761108.992,304.823761108992,7971876634.624,7.9718766346239995
82,11,2003,401714806784.0,185113862209536.0,185113862209536.0,182890646208512.0,7095022780416.0,3469785169920.0,7017296560128.0,40171480.6784,401714.806784,182890646208.512,182.89064620851198,7017296560.128,7.017296560128
83,12,2003,669438967808.0,367225844269056.0,367225844269056.0,362840514887680.0,2805525118976.0,1372595552256.0,2775358111744.0,66943896.7808,669438.967808,362840514887.68,362.84051488768,2775358111.744,2.775358111744
84,01,2004,426457464832.0,296578296315904.0,296578296315904.0,293137087987712.0,2360773705728.0,1155331784704.0,2335718768640.0,42645746.4832,426457.464832,293137087987.712,293.137087987712,2335718768.64,2.33571876864
85,02,2004,257093730304.0,250649006571520.0,250649006571520.0,247718949683200.0,6572561924096.0,3216052846592.0,6502334070784.0,25709373.0304,257093.730304,247718949683.2,247.7189496832,6502334070.784,6.502334070784
86,03,2004,179277561856.0,273884041445376.0,273884041445376.0,270892781273088.0,16555963318272.0,8101052809216.0,16379033944064.0,17927756.1856,179277.561856,270892781273.088,270.892781273088,16379033944.064,16.379033944064
87,04,2004,135245119488.0,116579043901440.0,116579043901440.0,115009510178816.0,10587558903808.0,5128568963072.0,10422348414976.0,13524511.9488,135245.119488,115009510178.816,115.009510178816,10422348414.976,10.422348414976
88,05,2004,247209066496.0,233527438213120.0,233527438213120.0,230330506149888.0,24735467438080.0,11641119834112.0,24008854601728.0,24720906.6496,247209.066496,230330506149.888,230.330506149888,24008854601.728,24.008854601728
89,06,2004,431612723200.0,386365728489472.0,386365728489472.0,381418798579712.0,37593974571008.0,17535782092800.0,36332768329728.0,43161272.32,431612.7232,381418798579.712,381.41879857971196,36332768329.728,36.332768329728
90,07,2004,467688390656.0,553452170117120.0,553452170117120.0,544354187870208.0,133924378378240.0,62328678645760.0,129290863640576.0,46768839.0656,467688.390656,544354187870.208,544.354187870208,129290863640.576,129.290863640576
91,08,2004,585811427328.0,682602977558528.0,682602977558528.0,676567474765824.0,60178816827392.0,28105710239744.0,58195120750592.0,58581142.7328,585811.427328,676567474765.824,676.5674747658239,58195120750.592,58.195120750592004
92,09,2004,575304499200.0,738628007362560.0,738628007362560.0,732754572476416.0,9763446325248.0,4656944119808.0,9538667282432.0,57530449.92,575304.4992,732754572476.416,732.754572476416,9538667282.432,9.538667282432
93,10,2004,592524214272.0,428437852389376.0,428437852389376.0,425400740085760.0,19695423979520.0,9344996343808.0,19192707284992.0,59252421.4272,592524.214272,425400740085.76,425.40074008576,19192707284.992,19.192707284992
94,11,2004,499322290176.0,221402745536512.0,221402745536512.0,218742080405504.0,3458486501376.0,1683454951424.0,3412698071040.0,49932229.0176,499322.290176,218742080405.504,218.742080405504,3412698071.04,3.41269807104
95,12,2004,592278519808.0,343667545997312.0,343667545997312.0,339561959915520.0,3202681143296.0,1566421024768.0,3167761727488.0,59227851.9808,592278.519808,339561959915.52,339.56195991552,3167761727.488,3.167761727488
96,01,2005,562136285184.0,430410383228928.0,430410383228928.0,425748699545600.0,1959526400000.0,958901846016.0,1938664980480.0,56213628.5184,562136.285184,425748699545.6,425.74869954559995,1938664980.48,1.93866498048
97,02,2005,207823962112.0,245570358738944.0,245570358738944.0,243916997656576.0,3459287089152.0,1692283043840.0,3421926588416.0,20782396.2112,207823.962112,243916997656.576,243.916997656576,3421926588.416,3.421926588416
98,03,2005,156171911168.0,208479272828928.0,208479272828928.0,206643895730176.0,8743092224000.0,4221560160256.0,8593106534400.0,15617191.1168,156171.911168,206643895730.176,206.64389573017598,8593106534.4,8.5931065344
99,04,2005,175391096832.0,187586572189696.0,187586572189696.0,185169428348928.0,20072294776832.0,9671195754496.0,19707344191488.0,17539109.6832,175391.096832,185169428348.928,185.16942834892802,19707344191.488,19.707344191487998
100,05,2005,246453764096.0,207812076503040.0,207812076503040.0,205003822202880.0,16760206000128.0,7911420985344.0,16291523985408.0,24645376.4096,246453.764096,205003822202.88,205.00382220288,16291523985.408,16.291523985408002
101,06,2005,385655046144.0,355918101348352.0,355918101348352.0,350904767217664.0,53574037929984.0,24981763260416.0,51768784322560.0,38565504.6144,385655.046144,350904767217.664,350.904767217664,51768784322.56,51.768784322559995
102,07,2005,583543881728.0,578567729577984.0,578567729577984.0,570226903089152.0,85671796539392.0,39904784416768.0,82740682686464.0,58354388.1728,583543.881728,570226903089.152,570.226903089152,82740682686.464,82.740682686464
103,08,2005,608904675328.0,854776136859648.0,854776136859648.0,845865623224320.0,55748893605888.0,26088780595200.0,53963227398144.0,60890467.5328,608904.675328,845865623224.32,845.86562322432,53963227398.144,53.963227398144
104,09,2005,479947554816.0,642005268955136.0,642005268955136.0,636323899637760.0,10552752472064.0,5008885022720.0,10285261783040.0,47994755.4816,479947.554816,636323899637.76,636.3238996377601,10285261783.04,10.285261783040001
105,10,2005,378864828416.0,285369874513920.0,285369874513920.0,281590806609920.0,26691233644544.0,12546911240192.0,25892529111040.0,37886482.8416,378864.828416,281590806609.92,281.59080660992,25892529111.04,25.89252911104
106,11,2005,528438067200.0,254228794703872.0,254228794703872.0,251067765882880.0,4359755661312.0,2110994776064.0,4290872606720.0,52843806.72,528438.0672,251067765882.88,251.06776588288,4290872606.72,4.29087260672
107,12,2005,628312178688.0,359406185218048.0,359406185218048.0,355075482451968.0,2969708789760.0,1452929318912.0,2937783844864.0,62831217.8688,628312.178688,355075482451.968,355.075482451968,2937783844.864,2.9377838448639997
108,01,2006,384704610304.0,269311478333440.0,269311478333440.0,266073794412544.0,6210988277760.0,3037697671168.0,6143191547904.0,38470461.0304,384704.610304,266073794412.544,266.07379441254403,6143191547.904,6.143191547904
109,02,2006,158996103168.0,130793875701760.0,130793875701760.0,129213914939392.0,4412779003904.0,2157069598720.0,4363459231744.0,15899610.3168,158996.103168,129213914939.392,129.213914939392,4363459231.744,4.363459231744001
110,03,2006,145382359040.0,177279556648960.0,177279556648960.0,175321470992384.0,15108289855488.0,7379847479296.0,14933992407040.0,14538235.904,145382.35904,175321470992.384,175.321470992384,14933992407.04,14.933992407040002
111,04,2006,144798744576.0,147041376272384.0,147041376272384.0,144748786483200.0,27734405283840.0,13214433673216.0,27081635266560.0,14479874.4576,144798.744576,144748786483.2,144.7487864832,27081635266.56,27.081635266560003
112,05,2006,234728325120.0,258806911074304.0,258806911074304.0,253935914844160.0,77333503410176.0,36268016664576.0,74934764175360.0,23472832.512,234728.32512,253935914844.16,253.93591484416,74934764175.36,74.93476417536
113,06,2006,360244477952.0,332177703174144.0,332177703174144.0,327266374516736.0,51864175378432.0,24174651244544.0,50106741030912.0,36024447.7952,360244.477952,327266374516.736,327.26637451673605,50106741030.912,50.106741030912005
114,07,2006,460364054528.0,551875648684032.0,551875648684032.0,542960336764928.0,137250033631232.0,63982589181952.0,132607601803264.0,46036405.4528,460364.054528,542960336764.928,542.960336764928,132607601803.264,132.607601803264
115,08,2006,654528610304.0,756182008463360.0,756182008463360.0,750158987919360.0,30992792289280.0,14712916934656.0,30209313079296.0,65452861.0304,654528.610304,750158987919.36,750.15898791936,30209313079.296,30.209313079296003
116,09,2006,524429885440.0,673840908730368.0,673840908730368.0,675763443466240.0,22797631881216.0,10807099260928.0,22205916250112.0,52442988.544,524429.88544,675763443466.24,675.76344346624,22205916250.112,22.205916250112
117,10,2006,382459838464.0,491495287160832.0,491495287160832.0,497906700255232.0,8953280856064.0,4264173502464.0,8740814192640.0,38245983.8464,382459.838464,497906700255.232,497.906700255232,8740814192.64,8.74081419264
118,11,2006,579183575040.0,268987074084864.0,268987074084864.0,266412358631424.0,8283661271040.0,4048971890688.0,8190802526208.0,57918357.504,579183.57504,266412358631.424,266.412358631424,8190802526.208,8.190802526208
119,12,2006,652207259648.0,423115683266560.0,423115683266560.0,418077351084032.0,40881667178496.0,20006368706560.0,40447200198656.0,65220725.9648,652207.259648,418077351084.032,418.077351084032,40447200198.656,40.447200198656
